Latitude,Longitude,Min. Depth,Temp. Gradient
43.6517,-112.8667,100,58
43.7181,-112.7681,90,5
43.6681,-112.7511,130,22
43.8178,-112.7353,105,11
43.7525,-112.6842,95,16
43.4844,-112.6833,300,5
43.8022,-112.5342,70,1
43.7667,-112.5192,85,13
44.0025,-112.485,120,28
44.1833,-112.4358,105,29
46.7511,-112.3672,164,166
43.6833,-112.3003,130,7
43.7508,-112.2167,100,17
43.6186,-112.1525,45,3
44.35,-112.0025,125,67
44.2167,-111.8847,60,14
44.4675,-111.8522,60,9
43.8669,-111.8508,80,45
44.1189,-111.7681,190,17
44,-111.7339,50,21
44.4522,-111.7192,95,38
44.0353,-111.6842,105,21
43.9022,-111.5356,170,213
43.9011,-111.5192,60,133
44.4336,-111.4842,100,25
44.3172,-111.4506,180,65
43.9836,-111.3344,90,53
43.9514,-111.3344,80,58
32.8167,-109.5167,950,19
40.2333,-108.9333,1220,15
38.2,-108.8167,150,21
37.7833,-108.7667,170,27
38.95,-108.6167,170,26
39.9667,-108.4667,404,54
39.95,-108.3833,280,56
40.05,-108.3333,671,66
39.7667,-108.15,201,55
37.7008,-108.0333,140,87
37.05,-107.8,1159,49
37.8,-107.6167,300,36
37,-107.5167,1250,44
38.9167,-107.1167,580,32
39.0178,-107.0844,300,26
38.8844,-107.0508,860,36
37.9167,-106.95,183,41
38.9842,-106.9353,300,37
38.9833,-106.5181,240,25
39.285,-106.4689,270,36
38.9833,-106.4511,300,41
39.3669,-106.1833,80,61
38.7833,-106.1667,60,30
40.3858,-105.9678,360,43
39.7519,-105.8339,701,33
39.5681,-105.8025,300,30
39.4833,-105.7344,120,30
39.7667,-105.6858,40,28
39.9019,-105.5858,210,30
38.2667,-105.5167,120,26
38.1347,-105.4347,100,34
39.8508,-105.2842,60,14
39.6681,-105.2344,50,23
37.2667,-105.2333,350,58
37.5333,-104.9,290,34
38.9667,-104.8833,115,36
39.85,-104.85,3017,24
38.1667,-104.7833,210,23
38.3,-104.7667,190,30
38.1833,-104.7333,130,25
37.7667,-103.6167,100,46
38.3833,-98.1667,252,13
38.3667,-98.1667,235,12
39.0019,-95.4686,520,17
37.3186,-95.2008,290,14
38.4683,-94.9006,220,20
32.8169,-92.7347,120,32
31.885,-92.6667,100,27
32.0192,-92.2686,120,44
32.8192,-92.135,100,34
32.7189,-91.8836,120,37
33.9347,-90.7672,100,23
32.1014,-90.6181,180,45
32.3519,-89.5,240,27
32.2169,-87.6181,140,37
30.5833,-87.1167,260,30
30.7022,-87.0008,300,27
30.4003,-86.8681,140,34
30.3858,-86.5856,340,23
30.6172,-84.6344,200,24
38.9167,-77.1,244,15
38.0689,-75.7181,296,48
38.3844,-75.6844,295,45
38.0336,-75.6672,293,46
38.3347,-75.6011,297,47
38.1681,-75.5678,300,52
38.1675,-75.3689,297,40
