Year,Week,uglo(average_of_day)
1998,1,3837.42857142857
1998,2,3311.14285714286
1998,3,3762
1998,4,4210.28571428571
1998,5,3910.28571428571
1998,6,4004.57142857143
1998,7,3722.57142857143
1998,8,4908.85714285714
1998,9,5718.85714285714
1998,10,5709.42857142857
1998,11,5426.57142857143
1998,12,6382.28571428571
1998,13,6091.71428571429
1998,14,6803.14285714286
1998,15,7107.42857142857
1998,16,7653.42857142857
1998,17,7656.85714285714
1998,18,7592.57142857143
1998,19,7914.85714285714
1998,20,7334.57142857143
1998,21,8403.42857142857
1998,22,7956.85714285714
1998,23,8368.28571428571
1998,24,8382
1998,25,8399.14285714286
1998,26,8394
1998,27,7428
1998,28,8066.57142857143
1998,29,6614.57142857143
1998,30,7703.14285714286
1998,31,7590.85714285714
1998,32,6492.85714285714
1998,33,6936
1998,34,6315.42857142857
1998,35,5414.57142857143
1998,36,6426.85714285714
1998,37,6139.71428571429
1998,38,5674.28571428571
1998,39,5423.14285714286
1998,40,5586
1998,41,4884.85714285714
1998,42,5010
1998,43,4518.85714285714
1998,44,4461.42857142857
1998,45,3606
1998,46,3872.57142857143
1998,47,3642.85714285714
1998,48,3119.14285714286
1998,49,3412.28571428571
1998,50,3282
1998,51,3504
1998,52,3201.42857142857
1999,1,3917.14285714286
1999,2,3176.57142857143
1999,3,3722.57142857143
1999,4,3825.42857142857
1999,5,3457.71428571429
1999,6,4446.85714285714
1999,7,4410.85714285714
1999,8,4522.28571428571
1999,9,5338.28571428571
1999,10,5346.85714285714
1999,11,5707.71428571429
1999,12,5714.57142857143
1999,13,6099.42857142857
1999,14,6585.42857142857
1999,15,6746.57142857143
1999,16,7157.14285714286
1999,17,6972
1999,18,7494
1999,19,7770
1999,20,8172
1999,21,8370
1999,22,7671.42857142857
1999,23,8118.85714285714
1999,24,8425.71428571429
1999,25,8224.28571428571
1999,26,8049.42857142857
1999,27,6774
1999,28,7272.85714285714
1999,29,7567.71428571429
1999,30,7275.42857142857
1999,31,7332
1999,32,6849.42857142857
1999,33,6816.85714285714
1999,34,6264
1999,35,6478.28571428571
1999,36,5420.57142857143
1999,37,5743.71428571429
1999,38,5122.28571428571
1999,39,6033.42857142857
1999,40,5530.28571428571
1999,41,5262
1999,42,5022.85714285714
1999,43,4661.14285714286
1999,44,4404.85714285714
1999,45,3946.28571428571
1999,46,3857.14285714286
1999,47,3707.14285714286
1999,48,3189.42857142857
1999,49,3306.85714285714
1999,50,3214.28571428571
1999,51,3325.71428571429
1999,52,3180.85714285714
2000,1,3641.14285714286
2000,2,3342
2000,3,2996.57142857143
2000,4,3847.71428571429
2000,5,3662.57142857143
2000,6,3846.85714285714
2000,7,4012.28571428571
2000,8,4035.42857142857
2000,9,4628.57142857143
2000,10,5002.28571428571
2000,11,5996.57142857143
2000,12,5734.28571428571
2000,13,5892.85714285714
2000,14,7171.71428571429
2000,15,7104.85714285714
2000,16,7229.14285714286
2000,17,7679.14285714286
2000,18,8241.42857142857
2000,19,8313.42857142857
2000,20,8071.71428571429
2000,21,7710
2000,22,7854.85714285714
2000,23,7432.28571428571
2000,24,8136
2000,25,8035.71428571429
2000,26,7336.28571428571
2000,27,7680
2000,28,7613.14285714286
2000,29,7425.42857142857
2000,30,7534.28571428571
2000,31,7146.85714285714
2000,32,6906.85714285714
2000,33,6485.14285714286
2000,34,6399.42857142857
2000,35,5902.28571428571
2000,36,6180.85714285714
2000,37,6303.42857142857
2000,38,6069.42857142857
2000,39,5682.85714285714
2000,40,5387.14285714286
2000,41,5135.14285714286
2000,42,4667.14285714286
2000,43,4309.71428571429
2000,44,4014
2000,45,3543.42857142857
2000,46,3765.42857142857
2000,47,3220.28571428571
2000,48,3525.42857142857
2000,49,3343.71428571429
2000,50,2968.28571428571
2000,51,3256.28571428571
2000,52,2918.57142857143
2001,1,3276.85714285714
2001,2,3078
2001,3,3511.71428571429
2001,4,3618
2001,5,3969.42857142857
2001,6,4146
2001,7,4029.42857142857
2001,8,4134
2001,9,5190.85714285714
2001,10,4973.14285714286
2001,11,5807.14285714286
2001,12,6102.85714285714
2001,13,6297.42857142857
2001,14,6614.57142857143
2001,15,7168.28571428571
2001,16,6384.85714285714
2001,17,7073.14285714286
2001,18,7619.14285714286
2001,19,7416
2001,20,8160.85714285714
2001,21,7922.57142857143
2001,22,7775.14285714286
2001,23,8309.14285714286
2001,24,8128.28571428571
2001,25,7311.42857142857
2001,26,8055.42857142857
2001,27,6568.28571428571
2001,28,7794
2001,29,7291.71428571429
2001,30,7422
2001,31,6793.71428571429
2001,32,6863.14285714286
2001,33,7038.85714285714
2001,34,6753.42857142857
2001,35,6042.85714285714
2001,36,6449.14285714286
2001,37,6053.14285714286
2001,38,5631.42857142857
2001,39,5358
2001,40,5384.57142857143
2001,41,5093.14285714286
2001,42,4695.42857142857
2001,43,4191.42857142857
2001,44,4449.42857142857
2001,45,4113.42857142857
2001,46,3571.71428571429
2001,47,3563.14285714286
2001,48,3210.85714285714
2001,49,3442.28571428571
2001,50,3414.85714285714
2001,51,3105.42857142857
2001,52,2831.14285714286
2002,1,3774.85714285714
2002,2,3024
2002,3,3194.57142857143
2002,4,3351.42857142857
2002,5,4062.85714285714
2002,6,4443.42857142857
2002,7,4540.28571428571
2002,8,4514.57142857143
2002,9,5233.71428571429
2002,10,5465.14285714286
2002,11,5570.57142857143
2002,12,6017.14285714286
2002,13,6422.57142857143
2002,14,6870
2002,15,6880.28571428571
2002,16,7419.42857142857
2002,17,6703.71428571429
2002,18,7684.28571428571
2002,19,7927.71428571429
2002,20,7947.42857142857
2002,21,8206.28571428571
2002,22,8055.42857142857
2002,23,8197.71428571429
2002,24,8098.28571428571
2002,25,8260.28571428571
2002,26,8095.71428571429
2002,27,7624.28571428571
2002,28,7504.28571428571
2002,29,7818.85714285714
2002,30,7557.42857142857
2002,31,7002
2002,32,7324.28571428571
2002,33,6936
2002,34,6932.57142857143
2002,35,6576
2002,36,5033.14285714286
2002,37,6482.57142857143
2002,38,5498.57142857143
2002,39,5220.85714285714
2002,40,5181.42857142857
2002,41,4842
2002,42,4827.42857142857
2002,43,4353.42857142857
2002,44,3832.28571428571
2002,45,3945.42857142857
2002,46,3792.85714285714
2002,47,3658.28571428571
2002,48,3009.42857142857
2002,49,3433.71428571429
2002,50,3242.57142857143
2002,51,2614.28571428571
2002,52,3149.14285714286
2003,1,3881.14285714286
2003,2,3410.57142857143
2003,3,3547.71428571429
2003,4,3705.42857142857
2003,5,3464.57142857143
2003,6,2725.71428571429
2003,7,4266.85714285714
2003,8,4822.28571428571
2003,9,4469.14285714286
2003,10,5776.28571428571
2003,11,5290.28571428571
2003,12,6058.28571428571
2003,13,6395.14285714286
2003,14,6847.71428571429
2003,15,6933.42857142857
2003,16,6879.42857142857
2003,17,7486.28571428571
2003,18,7644
2003,19,7185.42857142857
2003,20,7950.85714285714
2003,21,8047.71428571429
2003,22,7980
2003,23,8218.28571428571
2003,24,8277.42857142857
2003,25,8150.57142857143
2003,26,7858.28571428571
2003,27,7379.14285714286
2003,28,7321.71428571429
2003,29,5749.71428571429
2003,30,6769.71428571429
2003,31,6770.57142857143
2003,32,6611.14285714286
2003,33,5787.42857142857
2003,34,5395.71428571429
2003,35,5984.57142857143
2003,36,6420.85714285714
2003,37,6252
2003,38,5356.28571428571
2003,39,5695.71428571429
2003,40,5412.85714285714
2003,41,5251.71428571429
2003,42,4927.71428571429
2003,43,4492.28571428571
2003,44,4133.14285714286
2003,45,2947.71428571429
2003,46,3917.14285714286
2003,47,3729.42857142857
2003,48,3515.14285714286
2003,49,3416.57142857143
2003,50,3171.42857142857
2003,51,3102.85714285714
2003,52,2982.85714285714
2004,1,3545.14285714286
2004,2,3288
2004,3,2870.57142857143
2004,4,3810
2004,5,3647.14285714286
2004,6,1494
2004,7,2700.85714285714
2004,8,3799.71428571429
2004,9,4946.57142857143
2004,10,5954.57142857143
2004,11,6145.71428571429
2004,12,6131.14285714286
2004,13,6671.14285714286
2004,14,5812.28571428571
2004,15,7128.85714285714
2004,16,7291.71428571429
2004,17,7380.85714285714
2004,18,7811.14285714286
2004,19,7627.71428571429
2004,20,7830.85714285714
2004,21,7755.42857142857
2004,22,7947.42857142857
2004,23,8063.14285714286
2004,24,8104.28571428571
2004,25,8020.28571428571
2004,26,7824.85714285714
2004,27,7252.28571428571
2004,28,6637.71428571429
2004,29,7311.42857142857
2004,30,7308
2004,31,7035.42857142857
2004,32,6370.28571428571
2004,33,6330.85714285714
2004,34,6666
2004,35,6487.71428571429
2004,36,6339.42857142857
2004,37,5862.85714285714
2004,38,5675.14285714286
2004,39,5456.57142857143
2004,40,5368.28571428571
2004,41,5054.57142857143
2004,42,4079.14285714286
2004,43,4382.57142857143
2004,44,4588.28571428571
2004,45,3850.28571428571
2004,46,3560.57142857143
2004,47,3275.14285714286
2004,48,3428.57142857143
2004,49,2910.85714285714
2004,50,3522.85714285714
2004,51,3287.14285714286
2004,52,2550.85714285714
2005,1,3330.85714285714
2005,2,3243.42857142857
2005,3,3174.85714285714
2005,4,3712.28571428571
2005,5,4040.57142857143
2005,6,3128.57142857143
2005,7,2890.28571428571
2005,8,4067.14285714286
2005,9,5172.85714285714
2005,10,5853.42857142857
2005,11,4982.57142857143
2005,12,5706
2005,13,6343.71428571429
2005,14,6690.85714285714
2005,15,7065.42857142857
2005,16,6468.85714285714
2005,17,7074
2005,18,7267.71428571429
2005,19,7903.71428571429
2005,20,8047.71428571429
2005,21,7910.57142857143
2005,22,8121.42857142857
2005,23,7966.28571428571
2005,24,7983.42857142857
2005,25,7964.57142857143
2005,26,7959.42857142857
2005,27,7621.71428571429
2005,28,6660
2005,29,6569.14285714286
2005,30,7081.71428571429
2005,31,6278.57142857143
2005,32,6390.85714285714
2005,33,6897.42857142857
2005,34,6124.28571428571
2005,35,6031.71428571429
2005,36,6218.57142857143
2005,37,5939.14285714286
2005,38,5693.14285714286
2005,39,5362.28571428571
