Year,Week,uglo(average_of_day)
2003,46,4044
2003,47,3697.71428571429
2003,48,3502.28571428571
2003,49,3402
2003,50,3324.85714285714
2003,51,3008.57142857143
2003,52,2946
2004,1,3564
2004,2,3470.57142857143
2004,3,2754.85714285714
2004,4,3960
2004,5,3741.42857142857
2004,6,1851.42857142857
2004,7,3040.28571428571
2004,8,3595.71428571429
2004,9,4725.42857142857
2004,10,5924.57142857143
2004,11,6210
2004,12,6204
2004,13,6742.28571428571
2004,14,5796.85714285714
2004,15,7348.28571428571
2004,16,7429.71428571429
2004,17,7488
2004,18,7831.71428571429
2004,19,7815.42857142857
2004,20,7864.28571428571
2004,21,8208
2004,22,8214
2004,23,8222.57142857143
2004,24,8281.71428571429
2004,25,8371.71428571429
2004,26,8208.85714285714
2004,27,7818.85714285714
2004,28,7022.57142857143
2004,29,7699.71428571429
2004,30,7693.71428571429
2004,31,7472.57142857143
2004,32,6691.71428571429
2004,33,6681.42857142857
2004,34,6967.71428571429
2004,35,6805.71428571429
2004,36,6222
2004,37,5927.14285714286
2004,38,6033.42857142857
2004,39,5698.28571428571
2004,40,5663.14285714286
2004,41,5232
2004,42,3910.28571428571
2004,43,4246.28571428571
2004,44,4512.85714285714
2004,45,4011.42857142857
2004,46,3844.28571428571
2004,47,3340.28571428571
2004,48,3626.57142857143
2004,49,2840.57142857143
2004,50,3482.57142857143
2004,51,3373.71428571429
2004,52,2445.42857142857
2005,1,3115.71428571429
2005,2,3297.42857142857
2005,3,2960.57142857143
2005,4,3386.57142857143
2005,5,4158.85714285714
2005,6,3170.57142857143
2005,7,2762.57142857143
2005,8,4058.57142857143
2005,9,5144.57142857143
2005,10,5803.71428571429
2005,11,5145.42857142857
2005,12,5882.57142857143
2005,13,6502.28571428571
2005,14,6876
2005,15,7293.42857142857
2005,16,6553.71428571429
2005,17,7215.42857142857
2005,18,7452.85714285714
2005,19,8003.14285714286
2005,20,8109.42857142857
2005,21,8005.71428571429
2005,22,8040
2005,23,8255.14285714286
2005,24,8286
2005,25,8236.28571428571
2005,26,8097.42857142857
2005,27,7987.71428571429
2005,28,7158.85714285714
2005,29,6973.71428571429
2005,30,7301.14285714286
2005,31,6669.42857142857
2005,32,6666.85714285714
2005,33,6972.85714285714
2005,34,6766.28571428571
2005,35,6646.28571428571
2005,36,6552.85714285714
2005,37,6300
2005,38,5454
2005,39,5569.71428571429
2005,40,5633.14285714286
2005,41,5225.14285714286
2005,42,3846.85714285714
2005,43,4768.28571428571
2005,44,4200.85714285714
2005,45,3488.57142857143
2005,46,4056.85714285714
2005,47,3224.57142857143
2005,48,3528.85714285714
2005,49,3418.28571428571
2005,50,2729.14285714286
2005,51,3086.57142857143
2005,52,3162
