Year,Week,uglo(average_of_day)
1998,1,3822
1998,2,3292.28571428571
1998,3,3543.42857142857
1998,4,4150.28571428571
1998,5,3814.28571428571
1998,6,3816
1998,7,3751.71428571429
1998,8,4795.71428571429
1998,9,5616.85714285714
1998,10,5712
1998,11,5302.28571428571
1998,12,6233.14285714286
1998,13,5975.14285714286
1998,14,6810
1998,15,7055.14285714286
1998,16,7628.57142857143
1998,17,7682.57142857143
1998,18,7497.42857142857
1998,19,7832.57142857143
1998,20,7260.85714285714
1998,21,8350.28571428571
1998,22,7914
1998,23,8347.71428571429
1998,24,8322.85714285714
1998,25,8339.14285714286
1998,26,8286
1998,27,7476.85714285714
1998,28,8051.14285714286
1998,29,6474
1998,30,7625.14285714286
1998,31,7545.42857142857
1998,32,6414.85714285714
1998,33,6741.42857142857
1998,34,6636
1998,35,5376.85714285714
1998,36,6333.42857142857
1998,37,6494.57142857143
1998,38,6165.42857142857
1998,39,5846.57142857143
1998,40,5756.57142857143
1998,41,5334
1998,42,5052.85714285714
1998,43,4630.28571428571
1998,44,4499.14285714286
1998,45,3865.71428571429
1998,46,3956.57142857143
1998,47,3834.85714285714
1998,48,3216
1998,49,3335.14285714286
1998,50,3284.57142857143
1998,51,3344.57142857143
1998,52,3410.57142857143
1999,1,4061.14285714286
1999,2,3269.14285714286
1999,3,3787.71428571429
1999,4,3678.85714285714
1999,5,3469.71428571429
1999,6,4604.57142857143
1999,7,4694.57142857143
1999,8,5008.28571428571
1999,9,5374.28571428571
1999,10,5715.42857142857
1999,11,5911.71428571429
1999,12,5749.71428571429
1999,13,6132
1999,14,6576.85714285714
1999,15,6990.85714285714
1999,16,7098.85714285714
1999,17,7205.14285714286
1999,18,7233.42857142857
1999,19,8037.42857142857
1999,20,8153.14285714286
1999,21,8216.57142857143
1999,22,7307.14285714286
1999,23,8313.42857142857
1999,24,8262
1999,25,8345.14285714286
1999,26,8176.28571428571
1999,27,7027.71428571429
1999,28,7278
1999,29,7804.28571428571
1999,30,7283.14285714286
1999,31,7327.71428571429
1999,32,7476
1999,33,6972.85714285714
1999,34,6738
1999,35,6579.42857142857
1999,36,5905.71428571429
1999,37,6164.57142857143
1999,38,4947.42857142857
1999,39,5898.85714285714
1999,40,5766
1999,41,5402.57142857143
1999,42,5010
1999,43,4711.71428571429
1999,44,4453.71428571429
1999,45,4061.14285714286
1999,46,4059.42857142857
1999,47,3858.85714285714
1999,48,3548.57142857143
1999,49,3245.14285714286
1999,50,3384
1999,51,3424.28571428571
1999,52,3222.85714285714
2000,1,3998.57142857143
2000,2,3488.57142857143
2000,3,2940
2000,4,3784.28571428571
2000,5,3793.71428571429
2000,6,3973.71428571429
2000,7,4024.28571428571
2000,8,4603.71428571429
2000,9,4860.85714285714
2000,10,4718.57142857143
2000,11,6169.71428571429
2000,12,5736
2000,13,6015.42857142857
2000,14,6936.85714285714
2000,15,7310.57142857143
2000,16,7420.28571428571
2000,17,7744.28571428571
2000,18,7693.71428571429
2000,19,7946.57142857143
2000,20,7680.85714285714
2000,21,8247.42857142857
2000,22,8246.57142857143
2000,23,8195.14285714286
2000,24,8277.42857142857
2000,25,8239.71428571429
2000,26,6762.85714285714
2000,27,8041.71428571429
2000,28,7597.71428571429
2000,29,7723.71428571429
2000,30,7087.71428571429
2000,31,7426.28571428571
2000,32,7293.42857142857
2000,33,6678
2000,34,6409.71428571429
2000,35,5734.28571428571
2000,36,6419.14285714286
2000,37,6431.14285714286
2000,38,6088.28571428571
2000,39,5747.14285714286
2000,40,5757.42857142857
2000,41,5160.85714285714
2000,42,4830
2000,43,3928.28571428571
2000,44,3818.57142857143
2000,45,3643.71428571429
2000,46,3638.57142857143
2000,47,3389.14285714286
2000,48,3372
2000,49,3068.57142857143
2000,50,3285.42857142857
2000,51,3299.14285714286
2000,52,3324.85714285714
2001,1,3288
2001,2,3031.71428571429
2001,3,3774.85714285714
2001,4,3704.57142857143
2001,5,4317.42857142857
2001,6,4536.85714285714
2001,7,4310.57142857143
2001,8,3745.71428571429
2001,9,4523.14285714286
2001,10,4952.57142857143
2001,11,6139.71428571429
2001,12,6388.28571428571
2001,13,6735.42857142857
2001,14,6615.42857142857
2001,15,7247.14285714286
2001,16,6444
2001,17,7851.42857142857
2001,18,7809.42857142857
2001,19,7224
2001,20,7938.85714285714
2001,21,8067.42857142857
2001,22,8267.14285714286
2001,23,8328.85714285714
2001,24,8334
2001,25,6932.57142857143
2001,26,7760.57142857143
2001,27,6508.28571428571
2001,28,7934.57142857143
2001,29,7746.85714285714
2001,30,7380
2001,31,7086.85714285714
2001,32,7072.28571428571
2001,33,7079.14285714286
2001,34,6950.57142857143
2001,35,6372.85714285714
2001,36,6641.14285714286
2001,37,6204.85714285714
2001,38,6018.85714285714
2001,39,5610
2001,40,5661.42857142857
2001,41,5204.57142857143
2001,42,4825.71428571429
2001,43,4651.71428571429
2001,44,4392.85714285714
2001,45,4194.85714285714
2001,46,3763.71428571429
2001,47,3413.14285714286
2001,48,3045.42857142857
2001,49,3488.57142857143
2001,50,3414
2001,51,3338.57142857143
2001,52,2603.14285714286
2002,1,3770.57142857143
2002,2,3186
2002,3,3765.42857142857
2002,4,3431.14285714286
2002,5,4150.28571428571
2002,6,4623.42857142857
2002,7,4098
2002,8,5142
2002,9,5289.42857142857
2002,10,5183.14285714286
2002,11,5948.57142857143
2002,12,6246.85714285714
2002,13,6721.71428571429
2002,14,6911.14285714286
2002,15,7179.42857142857
2002,16,7500
2002,17,6720.85714285714
2002,18,7761.42857142857
2002,19,7994.57142857143
2002,20,8064
2002,21,8093.14285714286
2002,22,7698
2002,23,8275.71428571429
2002,24,8316
2002,25,8065.71428571429
2002,26,8139.42857142857
2002,27,7948.28571428571
2002,28,7313.14285714286
2002,29,7856.57142857143
2002,30,7467.42857142857
2002,31,6972
2002,32,7249.71428571429
2002,33,7238.57142857143
2002,34,6978.85714285714
2002,35,6821.14285714286
2002,36,5028.85714285714
2002,37,6477.42857142857
2002,38,6001.71428571429
2002,39,5615.14285714286
2002,40,5481.42857142857
2002,41,4890.85714285714
2002,42,4912.28571428571
2002,43,4710.85714285714
2002,44,4149.42857142857
2002,45,4056.85714285714
2002,46,3924
2002,47,3385.71428571429
2002,48,2916
2002,49,3370.28571428571
2002,50,3274.28571428571
2002,51,2533.71428571429
2002,52,3354
2003,1,3751.71428571429
2003,2,3638.57142857143
2003,3,3700.28571428571
2003,4,3740.57142857143
2003,5,4123.71428571429
2003,6,3158.57142857143
2003,7,4166.57142857143
2003,8,4598.57142857143
2003,9,4325.14285714286
2003,10,5896.28571428571
2003,11,5420.57142857143
2003,12,6522.85714285714
2003,13,6755.14285714286
2003,14,7004.57142857143
2003,15,6808.28571428571
2003,16,7054.28571428571
2003,17,7734
2003,18,7152.85714285714
2003,19,6985.71428571429
2003,20,8054.57142857143
2003,21,8220
2003,22,8304
2003,23,8203.71428571429
2003,24,8119.71428571429
2003,25,8162.57142857143
2003,26,8152.28571428571
2003,27,7932.85714285714
2003,28,7523.14285714286
2003,29,5790.85714285714
2003,30,6577.71428571429
2003,31,6755.14285714286
2003,32,6730.28571428571
2003,33,5949.42857142857
2003,34,5886
2003,35,6490.28571428571
2003,36,6302.57142857143
2003,37,6359.14285714286
2003,38,5406
2003,39,5736
2003,40,5396.57142857143
2003,41,5327.14285714286
2003,42,4947.42857142857
2003,43,4638
2003,44,4218.85714285714
2003,45,2884.28571428571
